GO_MF,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_MF:aldehyde_dehydrogenase_(NAD+)_activity,GO:0004029,0.000211461196870374,0.0510795935647756,0.734662460679538,1.90991754858457,0,19,Vitvi05_01chr18g32770|Vitvi05_01chr01g11950|Vitvi05_01chr18g32870|Vitvi05_01chr18g32850|Vitvi05_01chr18g32800|Vitvi05_01chr18g32860
GO_BP:abscisic_acid_metabolic_process,GO:0009687,0.000211685012701101,0.0510795935647756,0.707256220242543,1.88644703059955,0,21,Vitvi05_01chr18g32770|Vitvi05_01chr18g32870|Vitvi05_01chr18g32850|Vitvi05_01chr18g32800|Vitvi05_01chr04g22630|Vitvi05_01chr18g32860|Vitvi05_01chr12g11840
GO_BP:cell_wall_polysaccharide_metabolic_process,GO:0010383,0.000186532363365044,0.0510795935647756,-0.572553920170964,-1.86686838448565,0,59,Vitvi05_01chr12g14500|Vitvi05_01chr18g34730|Vitvi05_01chr19g02180|Vitvi05_01chr01g04250|Vitvi05_01chr17g14750|Vitvi05_01chr12g14170|Vitvi05_01chr03g10180|Vitvi05_01chr08g05930|Vitvi05_01chr19g06990|Vitvi05_01chr05g21180|Vitvi05_01chr18g13560|Vitvi05_01chr13g00830|Vitvi05_01chr09g19180|Vitvi05_01chr12g14480|Vitvi05_01chr18g11980|Vitvi05_01chr04g23880|Vitvi05_01chr17g09260|Vitvi05_01chr08g03750|Vitvi05_01chr14g18860|Vitvi05_01chr08g24240|Vitvi05_01chr18g25340|Vitvi05_01chr07g17070|Vitvi05_01chr04g04190|Vitvi05_01chr13g01510|Vitvi05_01chr04g19190|Vitvi05_01chr08g08920|Vitvi05_01chr19g09630|Vitvi05_01chr18g03780|Vitvi05_01chr04g07390|Vitvi05_01chr15g18320|Vitvi05_01chr01g12860|Vitvi05_01chr02g19220|Vitvi05_01chr13g08920|Vitvi05_01chr14g30180|Vitvi05_01chr07g27610|Vitvi05_01chr18g18430
GO_MF:transmembrane_receptor_protein_kinase_activity,GO:0019199,0.000178094390026714,0.0510795935647756,-0.419098104211389,-1.58966796886119,0,164,Vitvi05_01chr09g19710|Vitvi05_01chr01g13450|Vitvi05_01chr03g03900|Vitvi05_01chr16g13930|Vitvi05_01chr09g19330|Vitvi05_01chr18g32290|Vitvi05_01chr14g14730|Vitvi05_01chr09g17430|Vitvi05_01chr06g13670|Vitvi05_01chr09g13340|Vitvi05_01chr10g13100|Vitvi05_01chr09g19320|Vitvi05_01chr09g19310|Vitvi05_01chr09g17580|Vitvi05_01chr09g19360|Vitvi05_01chr09g19410|Vitvi05_01chr11g17760|Vitvi05_01chr09g02620|Vitvi05_01chr09g19390|Vitvi05_01chr03g02340|Vitvi05_01chr02g11570|Vitvi05_01chr09g20000|Vitvi05_01chr07g23040|Vitvi05_01chr18g00280|Vitvi05_01chr09g19570|Vitvi05_01chr14g28470|Vitvi05_01chr10g10710|Vitvi05_01chr01g12500|Vitvi05_01chr04g13450|Vitvi05_01chr12g00960|Vitvi05_01chr07g03420|Vitvi05_01chr09g17640|Vitvi05_01chr07g23150|Vitvi05_01chr09g19640|Vitvi05_01chr18g11650|Vitvi05_01chr18g00270|Vitvi05_01chr14g28460|Vitvi05_01chr09g17310|Vitvi05_01chr18g03290|Vitvi05_01chr09g19520|Vitvi05_01chr07g28100|Vitvi05_01chr03g09740|Vitvi05_01chr15g12920|Vitvi05_01chr14g28490|Vitvi05_01chr09g19660|Vitvi05_01chr09g21680|Vitvi05_01chr09g19940|Vitvi05_01chr09g19530|Vitvi05_01chr18g17320|Vitvi05_01chr16g14800|Vitvi05_01chr04g02320|Vitvi05_01chr06g04420|Vitvi05_01chr09g17280|Vitvi05_01chr09g19950|Vitvi05_01chr10g01960|Vitvi05_01chr13g24700|Vitvi05_01chr09g19750|Vitvi05_01chr05g19940|Vitvi05_01chr15g13860|Vitvi05_01chr11g04600|Vitvi05_01chr18g01220|Vitvi05_01chr09g17350|Vitvi05_01chr10g13110|Vitvi05_01chr08g10730|Vitvi05_01chr07g24440|Vitvi05_01chr14g28860|Vitvi05_01chr09g00120|Vitvi05_01chr12g08030|Vitvi05_01chr09g03910|Vitvi05_01chr12g02810|Vitvi05_01chr04g02220|Vitvi05_01chr09g17010|Vitvi05_01chr06g04090|Vitvi05_01chr04g17160|Vitvi05_01chr08g13840|Vitvi05_01chr05g09230|Vitvi05_01chr16g12450|Vitvi05_01chr13g02780|Vitvi05_01chr18g17650|Vitvi05_01chr09g04870
GO_BP:apocarotenoid_metabolic_process,GO:0043288,0.000211685012701101,0.0510795935647756,0.707256220242543,1.88644703059955,0,21,Vitvi05_01chr18g32770|Vitvi05_01chr18g32870|Vitvi05_01chr18g32850|Vitvi05_01chr18g32800|Vitvi05_01chr04g22630|Vitvi05_01chr18g32860|Vitvi05_01chr12g11840
GO_BP:cell_wall_macromolecule_metabolic_process,GO:0044036,0.000186219739292365,0.0510795935647756,-0.554205412593503,-1.86112490457695,0,71,Vitvi05_01chr12g14500|Vitvi05_01chr18g34730|Vitvi05_01chr19g02180|Vitvi05_01chr01g04250|Vitvi05_01chr17g14750|Vitvi05_01chr12g14170|Vitvi05_01chr03g10180|Vitvi05_01chr08g05930|Vitvi05_01chr19g06990|Vitvi05_01chr05g21180|Vitvi05_01chr18g13560|Vitvi05_01chr13g00830|Vitvi05_01chr09g19180|Vitvi05_01chr11g10570|Vitvi05_01chr12g14480|Vitvi05_01chr18g11980|Vitvi05_01chr04g23880|Vitvi05_01chr17g09260|Vitvi05_01chr08g03750|Vitvi05_01chr14g18860|Vitvi05_01chr08g24240|Vitvi05_01chr18g25340|Vitvi05_01chr07g17070|Vitvi05_01chr04g04190|Vitvi05_01chr13g01510|Vitvi05_01chr04g19190|Vitvi05_01chr08g08920|Vitvi05_01chr17g07720|Vitvi05_01chr19g09630|Vitvi05_01chr18g03780|Vitvi05_01chr04g07390|Vitvi05_01chr04g18610|Vitvi05_01chr15g18320|Vitvi05_01chr10g15060|Vitvi05_01chr01g12860|Vitvi05_01chr02g19220|Vitvi05_01chr13g08920|Vitvi05_01chr14g30180|Vitvi05_01chr07g27610|Vitvi05_01chr18g14840|Vitvi05_01chr18g18430
GO_BP:xylan_metabolic_process,GO:0045491,0.000188465887674331,0.0510795935647756,-0.692117663332581,-1.95185198687685,0,28,Vitvi05_01chr12g14500|Vitvi05_01chr19g02180|Vitvi05_01chr01g04250|Vitvi05_01chr12g14170|Vitvi05_01chr03g10180|Vitvi05_01chr08g05930|Vitvi05_01chr19g06990|Vitvi05_01chr18g13560|Vitvi05_01chr13g00830|Vitvi05_01chr12g14480|Vitvi05_01chr18g11980|Vitvi05_01chr04g23880|Vitvi05_01chr08g03750|Vitvi05_01chr18g25340|Vitvi05_01chr04g04190|Vitvi05_01chr13g01510
GO_BP:cell_wall_organization_or_biogenesis,GO:0071554,0.000173310225303293,0.0510795935647756,-0.425841511008095,-1.70405631849701,0,267,Vitvi05_01chr09g19710|Vitvi05_01chr12g14500|Vitvi05_01chr18g02530|Vitvi05_01chr01g13450|Vitvi05_01chr06g22230|Vitvi05_01chr08g20070|Vitvi05_01chr18g16120|Vitvi05_01chr19g00710|Vitvi05_01chr05g01300|Vitvi05_01chr18g34730|Vitvi05_01chr10g24550|Vitvi05_01chr19g02180|Vitvi05_01chr12g06700|Vitvi05_01chr09g19330|Vitvi05_01chr01g04250|Vitvi05_01chr09g17430|Vitvi05_01chr01g12560|Vitvi05_01chr10g01650|Vitvi05_01chr09g13340|Vitvi05_01chr10g13100|Vitvi05_01chr09g19320|Vitvi05_01chr12g08630|Vitvi05_01chr13g26550|Vitvi05_01chr09g19310|Vitvi05_01chr17g14750|Vitvi05_01chr12g14170|Vitvi05_01chr09g17580|Vitvi05_01chr09g19360|Vitvi05_01chr00g08630|Vitvi05_01chr09g19410|Vitvi05_01chr03g10180|Vitvi05_01chr08g05930|Vitvi05_01chr19g06990|Vitvi05_01chr07g10220|Vitvi05_01chr14g26480|Vitvi05_01chr09g19390|Vitvi05_01chr05g21180|Vitvi05_01chr09g20000|Vitvi05_01chr18g13560|Vitvi05_01chr15g04790|Vitvi05_01chr10g08170|Vitvi05_01chr12g15470|Vitvi05_01chr13g00830|Vitvi05_01chr16g13030|Vitvi05_01chr09g19180|Vitvi05_01chr09g19570|Vitvi05_01chr14g28470|Vitvi05_01chr16g07790|Vitvi05_01chr11g10570|Vitvi05_01chr08g17010|Vitvi05_01chr12g14480|Vitvi05_01chr18g11980|Vitvi05_01chr13g26480|Vitvi05_01chr07g03420|Vitvi05_01chr09g17640|Vitvi05_01chr04g23880|Vitvi05_01chr16g06760|Vitvi05_01chr09g19640|Vitvi05_01chr17g09260|Vitvi05_01chr10g10800|Vitvi05_01chr14g28460|Vitvi05_01chr18g24350|Vitvi05_01chr09g17310|Vitvi05_01chr18g00190|Vitvi05_01chr09g19520|Vitvi05_01chr18g00340|Vitvi05_01chr11g05340|Vitvi05_01chr14g28490|Vitvi05_01chr09g19660|Vitvi05_01chr08g03750|Vitvi05_01chr03g04750|Vitvi05_01chr09g19940|Vitvi05_01chr09g19530|Vitvi05_01chr14g18860|Vitvi05_01chr08g24240|Vitvi05_01chr18g25340|Vitvi05_01chr07g17070|Vitvi05_01chr14g19020|Vitvi05_01chr10g04110|Vitvi05_01chr04g04190|Vitvi05_01chr13g01510|Vitvi05_01chr07g29020|Vitvi05_01chr07g21750|Vitvi05_01chr09g17280|Vitvi05_01chr09g19950|Vitvi05_01chr16g12860|Vitvi05_01chr16g02250|Vitvi05_01chr09g19750|Vitvi05_01chr04g10770|Vitvi05_01chr04g19190|Vitvi05_01chr08g08920|Vitvi05_01chr17g17840|Vitvi05_01chr08g21990|Vitvi05_01chr13g09100|Vitvi05_01chr09g17350|Vitvi05_01chr10g13110|Vitvi05_01chr16g10750|Vitvi05_01chr01g10690|Vitvi05_01chr17g07720|Vitvi05_01chr04g06420|Vitvi05_01chr19g09630|Vitvi05_01chr01g00390|Vitvi05_01chr14g28860|Vitvi05_01chr19g00490|Vitvi05_01chr18g03780|Vitvi05_01chr04g07390|Vitvi05_01chr03g11800|Vitvi05_01chr15g17830|Vitvi05_01chr10g17670|Vitvi05_01chr04g02220|Vitvi05_01chr18g11310|Vitvi05_01chr04g18610|Vitvi05_01chr15g18320|Vitvi05_01chr18g23950|Vitvi05_01chr10g15060|Vitvi05_01chr01g12860|Vitvi05_01chr18g13890|Vitvi05_01chr02g19220|Vitvi05_01chr14g00790|Vitvi05_01chr14g30330|Vitvi05_01chr13g08920|Vitvi05_01chr14g30180|Vitvi05_01chr07g09680|Vitvi05_01chr01g18810|Vitvi05_01chr16g11860|Vitvi05_01chr05g06700|Vitvi05_01chr12g04650|Vitvi05_01chr07g27610|Vitvi05_01chr18g14840|Vitvi05_01chr18g18430
GO_BP:cell_wall_organization,GO:0071555,0.000179985601151908,0.0510795935647756,-0.451598951308801,-1.67752359590508,0,139,Vitvi05_01chr09g19710|Vitvi05_01chr18g02530|Vitvi05_01chr01g13450|Vitvi05_01chr06g22230|Vitvi05_01chr08g20070|Vitvi05_01chr18g16120|Vitvi05_01chr18g34730|Vitvi05_01chr09g19330|Vitvi05_01chr09g17430|Vitvi05_01chr01g12560|Vitvi05_01chr10g01650|Vitvi05_01chr09g13340|Vitvi05_01chr10g13100|Vitvi05_01chr09g19320|Vitvi05_01chr12g08630|Vitvi05_01chr09g19310|Vitvi05_01chr17g14750|Vitvi05_01chr09g17580|Vitvi05_01chr09g19360|Vitvi05_01chr09g19410|Vitvi05_01chr08g05930|Vitvi05_01chr19g06990|Vitvi05_01chr14g26480|Vitvi05_01chr09g19390|Vitvi05_01chr05g21180|Vitvi05_01chr09g20000|Vitvi05_01chr18g13560|Vitvi05_01chr15g04790|Vitvi05_01chr12g15470|Vitvi05_01chr16g13030|Vitvi05_01chr09g19180|Vitvi05_01chr09g19570|Vitvi05_01chr14g28470|Vitvi05_01chr11g10570|Vitvi05_01chr07g03420|Vitvi05_01chr09g17640|Vitvi05_01chr09g19640|Vitvi05_01chr14g28460|Vitvi05_01chr09g17310|Vitvi05_01chr09g19520|Vitvi05_01chr11g05340|Vitvi05_01chr14g28490|Vitvi05_01chr09g19660|Vitvi05_01chr09g19940|Vitvi05_01chr09g19530|Vitvi05_01chr14g18860|Vitvi05_01chr08g24240|Vitvi05_01chr07g17070|Vitvi05_01chr07g29020|Vitvi05_01chr07g21750|Vitvi05_01chr09g17280|Vitvi05_01chr09g19950|Vitvi05_01chr16g12860|Vitvi05_01chr09g19750|Vitvi05_01chr17g17840|Vitvi05_01chr08g21990|Vitvi05_01chr13g09100|Vitvi05_01chr09g17350|Vitvi05_01chr10g13110|Vitvi05_01chr19g09630|Vitvi05_01chr14g28860|Vitvi05_01chr18g03780|Vitvi05_01chr04g07390|Vitvi05_01chr04g02220|Vitvi05_01chr18g11310|Vitvi05_01chr04g18610|Vitvi05_01chr15g18320|Vitvi05_01chr18g23950|Vitvi05_01chr02g19220|Vitvi05_01chr14g00790|Vitvi05_01chr14g30330|Vitvi05_01chr13g08920|Vitvi05_01chr14g30180|Vitvi05_01chr07g09680
GO_BP:tertiary_alcohol_metabolic_process,GO:1902644,0.000211685012701101,0.0510795935647756,0.707256220242543,1.88644703059955,0,21,Vitvi05_01chr18g32770|Vitvi05_01chr18g32870|Vitvi05_01chr18g32850|Vitvi05_01chr18g32800|Vitvi05_01chr04g22630|Vitvi05_01chr18g32860|Vitvi05_01chr12g11840
